Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,cluster
Male,Loyal Customer,8,Personal Travel,Eco,236,3,4,3,5,4,3,4,4,5,3,1,1,3,4,22,3.0,0
Female,Loyal Customer,56,Personal Travel,Eco,1173,3,4,3,2,4,3,5,2,2,3,2,4,2,4,0,0.0,0
Male,Loyal Customer,50,Personal Travel,Eco,397,4,5,4,3,5,4,5,5,3,5,4,5,5,5,3,3.0,1
Male,Loyal Customer,58,Personal Travel,Eco,130,1,0,1,2,1,1,1,1,4,4,5,3,5,1,0,0.0,0
Male,disloyal Customer,12,Business travel,Eco,1770,4,4,4,3,1,4,1,1,2,4,4,3,4,1,22,15.0,0
Male,disloyal Customer,25,Business travel,Eco,524,4,2,4,4,2,4,2,2,4,5,3,3,4,2,25,14.0,0
Female,Loyal Customer,55,Personal Travel,Business,909,4,4,4,1,1,4,2,3,3,4,4,2,3,4,35,37.0,0
Male,Loyal Customer,23,Business travel,Business,1819,3,2,2,2,3,3,3,3,1,4,4,4,4,3,19,19.0,0
Male,Loyal Customer,34,Personal Travel,Eco,909,3,5,3,3,2,3,2,2,4,5,4,5,5,2,0,0.0,0
Male,Loyal Customer,25,Business travel,Business,616,3,3,3,3,4,4,4,4,5,2,5,3,5,4,0,0.0,1
Male,Loyal Customer,65,Business travel,Business,3743,1,3,3,3,3,3,3,1,1,1,1,1,1,3,19,7.0,0
Female,Loyal Customer,44,Business travel,Business,2504,4,4,4,4,4,5,5,5,5,5,5,4,5,3,14,0.0,1
Male,Loyal Customer,41,Business travel,Business,2030,1,1,1,1,3,4,3,4,4,4,1,3,4,2,0,0.0,0
Male,Loyal Customer,60,Personal Travel,Business,210,2,2,2,3,5,4,3,1,1,2,1,1,1,1,0,0.0,0
Female,disloyal Customer,42,Business travel,Eco,151,1,4,0,3,4,0,4,4,4,4,3,4,4,4,19,17.0,0
Female,Loyal Customer,17,Personal Travel,Eco,802,3,4,3,3,2,3,2,2,4,2,5,2,4,2,0,0.0,0
Male,Loyal Customer,37,Business travel,Eco,405,4,1,1,1,4,4,4,2,5,3,4,4,4,4,177,196.0,1
Female,Loyal Customer,50,Business travel,Eco,204,5,4,4,4,3,1,5,5,5,5,5,4,5,2,26,17.0,1
Male,Loyal Customer,60,Personal Travel,Eco,237,4,4,0,5,1,0,1,1,4,3,4,5,5,1,0,0.0,0
Female,Loyal Customer,73,Business travel,Eco Plus,236,5,1,1,1,3,2,2,5,5,5,5,2,5,3,4,4.0,1
Male,Loyal Customer,49,Personal Travel,Business,440,1,5,1,3,2,5,1,1,1,1,1,4,1,1,7,2.0,0
Female,Loyal Customer,42,Personal Travel,Eco,308,3,1,3,4,4,4,4,1,1,3,1,1,1,4,0,0.0,0
Female,Loyal Customer,38,Business travel,Business,2977,2,3,1,3,4,4,4,2,2,2,2,4,2,4,12,7.0,0
Male,disloyal Customer,11,Business travel,Eco,999,2,2,2,4,1,2,1,1,2,1,4,2,3,1,7,21.0,0
Female,Loyal Customer,29,Personal Travel,Eco,1076,3,4,3,3,2,3,5,2,4,2,4,4,5,2,8,0.0,0
Female,Loyal Customer,20,Personal Travel,Eco,642,4,5,4,4,5,4,5,5,5,2,5,5,5,5,0,50.0,1
Female,Loyal Customer,51,Business travel,Eco Plus,227,4,2,2,2,4,4,4,4,4,4,4,1,4,1,0,3.0,1
Female,Loyal Customer,27,Business travel,Business,1846,2,2,2,2,3,4,3,3,5,4,5,5,4,3,0,0.0,1
Female,Loyal Customer,53,Business travel,Business,1921,3,3,3,3,4,5,4,5,5,5,4,3,5,3,0,7.0,1
Female,Loyal Customer,47,Business travel,Business,351,5,5,5,5,4,1,4,5,5,5,5,4,5,2,0,0.0,1
Male,disloyal Customer,12,Business travel,Eco,678,3,3,3,3,5,3,1,5,1,4,4,1,3,5,91,99.0,0
Male,Loyal Customer,59,Business travel,Eco,163,5,2,2,2,4,5,4,4,5,1,1,2,1,4,1,2.0,1
Male,Loyal Customer,50,Business travel,Business,3587,2,2,2,2,2,5,4,5,5,5,5,4,5,4,7,1.0,1
Male,Loyal Customer,53,Business travel,Business,2989,1,1,1,1,5,5,5,2,2,2,2,3,2,3,11,1.0,0
Female,Loyal Customer,70,Business travel,Eco,1562,3,4,4,4,2,3,3,3,3,3,3,1,3,1,6,0.0,0
Female,Loyal Customer,35,Personal Travel,Eco,1167,4,1,5,3,3,5,3,3,1,3,2,4,3,3,0,0.0,0
Male,Loyal Customer,39,Personal Travel,Eco Plus,763,1,4,1,4,5,1,5,5,3,2,5,5,4,5,0,0.0,1
Female,Loyal Customer,23,Business travel,Eco Plus,534,4,5,5,5,4,4,2,4,3,1,3,4,4,4,0,0.0,1
Male,Loyal Customer,42,Business travel,Business,2486,5,5,3,5,4,4,4,2,2,2,2,4,2,4,0,0.0,1
Female,disloyal Customer,23,Business travel,Business,1482,5,0,5,3,4,5,3,4,4,1,4,5,5,4,0,0.0,1
Female,Loyal Customer,38,Business travel,Business,301,3,5,5,5,3,1,1,3,3,3,3,3,3,1,127,116.0,0
Male,disloyal Customer,24,Business travel,Eco,255,0,4,0,4,2,0,2,2,5,5,5,5,4,2,6,8.0,0
Male,Loyal Customer,19,Personal Travel,Eco Plus,500,3,4,5,3,3,5,3,3,4,3,5,4,5,3,0,0.0,1
Male,Loyal Customer,40,Business travel,Eco,231,4,4,4,4,4,4,4,4,3,1,2,2,1,4,0,4.0,0
Female,Loyal Customer,52,Personal Travel,Eco,166,2,4,2,2,2,5,4,4,4,2,4,4,4,3,0,0.0,1
Female,Loyal Customer,50,Business travel,Business,2153,4,4,4,4,4,1,2,4,4,4,4,4,4,2,7,16.0,1
Male,disloyal Customer,23,Business travel,Eco,1235,4,4,4,3,3,4,3,3,4,3,4,5,5,3,0,0.0,1
Male,Loyal Customer,39,Business travel,Business,3171,2,3,3,3,2,3,3,2,2,2,2,3,2,1,25,13.0,0
Female,Loyal Customer,35,Business travel,Eco Plus,1235,1,2,2,2,1,1,1,1,2,4,3,2,3,1,51,30.0,0
Male,Loyal Customer,54,Business travel,Business,679,3,3,3,3,5,5,5,4,3,3,4,5,2,5,182,158.0,1
Male,Loyal Customer,25,Business travel,Business,1119,5,5,5,5,4,4,4,4,4,3,5,3,5,4,0,0.0,1
Male,Loyal Customer,41,Personal Travel,Eco,558,0,4,0,4,5,0,3,5,5,4,4,5,5,5,0,0.0,1
Female,Loyal Customer,20,Personal Travel,Eco,909,1,3,1,4,4,1,4,4,1,2,4,2,4,4,0,0.0,0
Male,disloyal Customer,30,Business travel,Eco Plus,641,3,3,3,4,1,3,1,1,2,3,3,4,4,1,0,0.0,0
Male,Loyal Customer,67,Business travel,Business,3069,3,3,4,3,2,3,4,3,3,3,3,1,3,4,1,7.0,0
Male,Loyal Customer,48,Business travel,Eco Plus,125,2,4,4,4,2,2,2,2,1,1,4,4,4,2,0,16.0,0
Female,Loyal Customer,30,Business travel,Eco,366,1,5,5,5,1,1,1,1,1,2,3,4,3,1,88,105.0,0
Female,Loyal Customer,47,Business travel,Eco,2611,4,4,4,4,4,4,4,2,2,3,3,4,3,4,0,0.0,1
Female,Loyal Customer,61,Personal Travel,Business,2556,2,2,2,3,1,2,4,1,1,2,1,2,1,1,0,0.0,0
Male,Loyal Customer,31,Personal Travel,Eco,282,1,4,3,4,2,3,2,2,5,5,4,5,4,2,0,0.0,0
Female,Loyal Customer,15,Personal Travel,Eco,621,1,5,2,1,3,2,3,3,4,3,5,3,5,3,25,14.0,0
Female,Loyal Customer,42,Business travel,Business,868,4,4,4,4,2,4,4,3,3,3,3,4,3,3,0,0.0,1
Male,Loyal Customer,53,Business travel,Business,2149,4,3,4,4,3,4,5,4,4,4,4,4,4,3,0,0.0,1
Male,Loyal Customer,18,Personal Travel,Eco,2475,3,3,3,2,3,3,3,4,4,3,2,3,3,3,6,0.0,0
Female,disloyal Customer,37,Business travel,Business,204,5,5,5,5,1,5,1,1,3,3,4,4,5,1,0,0.0,0
Female,Loyal Customer,68,Business travel,Eco Plus,201,4,1,1,1,1,1,3,4,4,4,4,4,4,5,15,14.0,1
Female,Loyal Customer,54,Business travel,Business,2689,4,4,2,4,5,5,5,4,4,4,4,5,4,5,0,0.0,1
Female,Loyal Customer,50,Business travel,Business,110,2,2,2,2,4,1,2,4,4,4,3,4,4,4,0,1.0,1
Female,Loyal Customer,19,Business travel,Business,228,4,4,4,4,3,4,3,3,1,3,5,5,3,3,51,42.0,0
Female,Loyal Customer,48,Business travel,Eco Plus,782,5,1,1,1,5,5,5,4,4,3,1,5,5,5,131,120.0,1
Male,Loyal Customer,17,Personal Travel,Eco,190,5,5,5,1,3,5,3,3,3,3,4,5,4,3,0,2.0,1
Female,disloyal Customer,50,Business travel,Business,1733,2,3,3,1,3,2,3,3,3,5,4,3,4,3,80,71.0,0
Female,Loyal Customer,27,Business travel,Business,867,2,4,4,4,2,2,2,2,1,3,3,4,3,2,0,33.0,0
Male,Loyal Customer,30,Business travel,Business,370,2,2,2,2,5,4,5,5,5,3,3,2,4,5,23,27.0,1
Male,Loyal Customer,60,Business travel,Business,1725,4,4,4,4,2,4,4,4,4,4,4,4,4,5,0,0.0,1
Female,Loyal Customer,36,Business travel,Eco,1346,2,5,5,5,2,2,2,2,4,5,3,1,2,2,11,0.0,0
Male,Loyal Customer,50,Business travel,Business,2475,1,1,1,1,2,4,4,3,3,4,3,5,3,5,0,6.0,1
Female,Loyal Customer,30,Business travel,Eco Plus,2402,2,1,1,1,2,2,2,2,1,1,3,3,4,2,3,0.0,0
Female,Loyal Customer,72,Business travel,Business,1923,3,5,5,5,3,3,3,3,3,3,3,4,3,1,0,0.0,0
Male,Loyal Customer,38,Personal Travel,Eco,1013,4,4,4,3,2,4,3,2,4,1,3,4,3,2,0,0.0,0
Female,disloyal Customer,25,Business travel,Eco,283,2,4,2,4,2,2,2,2,3,1,4,3,4,2,0,0.0,0
Male,Loyal Customer,39,Business travel,Eco,1056,4,1,1,1,4,4,4,4,3,2,1,3,4,4,10,0.0,1
Male,Loyal Customer,61,Personal Travel,Eco,120,0,5,0,3,3,0,3,3,5,2,3,5,3,3,0,0.0,0
Female,Loyal Customer,57,Personal Travel,Eco,214,3,0,0,4,2,3,3,5,5,0,5,5,5,2,31,43.0,0
Female,disloyal Customer,38,Business travel,Business,444,2,2,2,4,3,2,3,3,3,4,5,5,5,3,0,0.0,1
Male,Loyal Customer,52,Business travel,Business,258,1,1,1,1,5,4,4,4,4,4,4,5,4,3,0,5.0,1
Male,Loyal Customer,26,Personal Travel,Eco,874,3,3,3,3,4,3,1,4,1,1,2,3,3,4,2,2.0,0
Male,Loyal Customer,13,Business travel,Eco Plus,612,3,4,4,4,3,3,4,3,1,1,4,4,4,3,0,12.0,0
Male,Loyal Customer,31,Personal Travel,Eco Plus,1524,1,4,1,2,5,1,5,5,3,4,5,3,4,5,0,0.0,1
Female,Loyal Customer,59,Business travel,Business,337,4,4,4,4,3,4,4,4,4,4,4,5,4,4,0,0.0,1
Female,Loyal Customer,41,Business travel,Business,3528,5,5,5,5,3,4,5,4,4,4,4,3,4,5,0,0.0,1
Female,Loyal Customer,46,Business travel,Business,3532,2,2,2,2,2,5,5,3,3,3,3,4,3,4,72,78.0,1
Female,Loyal Customer,41,Business travel,Business,1872,3,5,5,5,2,4,3,3,3,3,3,4,3,3,0,0.0,0
Female,disloyal Customer,62,Business travel,Eco,409,2,0,2,4,4,2,3,4,4,1,2,3,1,4,0,0.0,0
Female,Loyal Customer,30,Personal Travel,Eco,441,3,4,5,5,2,5,2,2,4,5,4,2,4,2,0,0.0,0
Male,Loyal Customer,58,Business travel,Business,1050,2,2,2,2,5,5,5,4,4,4,4,3,4,3,17,110.0,1
Female,Loyal Customer,52,Business travel,Eco,472,5,1,1,1,5,3,1,5,5,5,5,2,5,4,0,0.0,1
Female,disloyal Customer,33,Business travel,Eco Plus,2704,2,2,2,5,5,2,5,5,5,2,4,3,4,5,40,44.0,1
Male,Loyal Customer,36,Personal Travel,Eco,986,4,4,4,3,4,4,4,4,5,3,5,3,5,4,40,27.0,1
Male,Loyal Customer,39,Business travel,Business,2180,2,2,2,2,2,5,4,5,5,5,5,2,5,1,0,0.0,1
Female,Loyal Customer,51,Business travel,Business,2334,3,3,3,3,2,5,4,5,5,5,5,3,5,4,28,12.0,1
Female,Loyal Customer,44,Business travel,Eco,158,4,5,5,5,2,1,2,4,4,4,4,2,4,3,0,6.0,0
Female,Loyal Customer,45,Business travel,Business,989,3,3,3,3,3,4,5,4,4,4,4,3,4,3,4,0.0,1
Female,Loyal Customer,46,Personal Travel,Eco,677,2,5,3,4,4,4,3,5,5,3,5,3,5,3,0,0.0,1
Male,Loyal Customer,16,Personal Travel,Business,481,2,4,2,2,1,2,1,1,5,5,5,2,3,1,0,0.0,0
Female,disloyal Customer,21,Business travel,Eco,861,2,2,2,3,2,2,2,2,4,4,4,1,4,2,0,0.0,0
Male,disloyal Customer,24,Business travel,Business,231,3,2,3,4,4,3,3,4,4,3,4,2,3,4,45,39.0,1
Male,Loyal Customer,39,Business travel,Business,1734,4,4,4,4,3,5,5,4,4,4,4,4,4,3,0,0.0,1
Male,Loyal Customer,39,Business travel,Business,2446,4,4,3,4,3,5,5,4,4,5,4,4,4,3,60,57.0,1
Female,Loyal Customer,69,Personal Travel,Eco,338,1,5,1,4,2,1,1,4,4,1,4,3,4,4,0,0.0,0
Male,disloyal Customer,23,Business travel,Business,979,5,5,5,4,2,5,2,2,5,2,4,4,4,2,108,98.0,0
Male,Loyal Customer,60,Business travel,Business,547,3,3,3,3,2,4,4,4,4,4,4,4,4,4,5,0.0,1
Male,Loyal Customer,37,Business travel,Business,468,1,1,1,1,4,4,5,4,4,4,4,5,4,5,7,0.0,1
Female,disloyal Customer,18,Business travel,Business,907,5,5,4,3,5,4,3,5,4,4,4,3,5,5,8,3.0,1
Female,Loyal Customer,43,Business travel,Business,214,4,4,4,4,2,3,5,4,4,4,4,4,4,1,6,17.0,1
Male,Loyal Customer,29,Business travel,Business,748,5,5,5,5,4,4,4,4,4,1,1,2,4,4,10,17.0,1
Male,Loyal Customer,47,Business travel,Business,399,5,5,5,5,4,5,5,3,3,3,3,3,3,3,130,129.0,1
Male,Loyal Customer,49,Personal Travel,Eco,692,2,4,3,1,5,3,5,5,3,2,4,4,4,5,0,6.0,1
Female,Loyal Customer,34,Business travel,Business,2248,2,2,2,2,4,1,2,5,5,5,5,4,5,4,0,0.0,1
Male,disloyal Customer,37,Business travel,Business,432,3,3,3,2,4,3,4,4,4,2,5,4,4,4,0,0.0,1
Male,Loyal Customer,59,Business travel,Eco,725,4,2,1,2,4,4,4,4,5,2,3,5,5,4,0,0.0,1
Male,Loyal Customer,52,Business travel,Business,1145,5,5,5,5,2,4,5,4,4,4,4,4,4,3,1,0.0,1
Female,disloyal Customer,26,Business travel,Business,762,1,1,1,5,4,1,4,4,3,5,4,4,4,4,0,0.0,1
Male,Loyal Customer,36,Business travel,Eco,1334,5,3,3,3,5,5,5,5,4,2,5,3,3,5,0,0.0,1
Male,Loyal Customer,54,Business travel,Business,692,4,4,4,4,4,5,4,4,4,4,4,4,4,5,0,0.0,1
Male,Loyal Customer,66,Personal Travel,Eco,1590,1,5,1,3,2,1,2,2,3,4,5,5,5,2,0,0.0,0
Male,Loyal Customer,52,Business travel,Business,3492,2,2,2,2,3,4,5,4,4,4,4,4,4,4,63,51.0,1
Female,Loyal Customer,68,Personal Travel,Business,630,3,4,3,3,4,5,4,5,5,3,5,3,5,5,0,4.0,1
Female,Loyal Customer,32,Personal Travel,Eco,833,4,4,3,3,1,3,1,1,4,3,4,5,5,1,43,23.0,0
Male,Loyal Customer,67,Personal Travel,Eco,715,1,1,1,3,2,1,2,2,1,4,4,2,3,2,7,21.0,0
Male,Loyal Customer,39,Business travel,Business,248,5,5,5,5,2,5,4,5,5,5,5,5,5,5,18,34.0,1
Male,disloyal Customer,16,Business travel,Eco Plus,1020,4,0,4,3,2,4,2,2,3,2,4,1,1,2,0,0.0,0
Female,Loyal Customer,55,Business travel,Eco,368,3,4,4,4,5,3,3,3,3,3,3,4,3,2,0,0.0,0
Male,Loyal Customer,28,Business travel,Eco Plus,403,3,4,4,4,3,3,3,3,2,5,4,1,3,3,65,57.0,0
Male,Loyal Customer,39,Personal Travel,Eco,819,2,2,2,4,5,2,5,5,4,5,3,2,3,5,2,0.0,1
Male,Loyal Customer,48,Business travel,Business,1845,4,4,4,4,4,5,5,5,5,4,5,5,5,3,0,0.0,1
Female,Loyal Customer,33,Business travel,Eco Plus,929,5,5,5,5,5,5,5,5,1,3,1,3,2,5,0,1.0,1
Male,disloyal Customer,41,Business travel,Eco,373,4,0,4,4,1,4,1,1,2,5,3,5,1,1,12,1.0,0
Male,Loyal Customer,50,Business travel,Business,1618,3,3,3,3,4,3,5,4,4,4,4,3,4,4,45,40.0,1
Female,Loyal Customer,53,Personal Travel,Eco,102,2,4,2,3,4,5,4,2,2,2,2,3,2,3,3,5.0,0
Female,Loyal Customer,38,Personal Travel,Eco,451,1,3,1,3,5,1,5,5,1,5,4,1,4,5,73,72.0,1
Female,Loyal Customer,37,Personal Travel,Eco,416,1,1,1,4,2,1,2,2,4,4,3,1,3,2,39,53.0,0
Male,Loyal Customer,59,Personal Travel,Eco Plus,364,3,5,3,3,1,3,1,1,3,5,4,5,5,1,4,0.0,0
Male,Loyal Customer,9,Personal Travel,Eco,895,1,5,1,2,2,1,2,2,5,4,4,4,4,2,98,95.0,0
Female,Loyal Customer,76,Business travel,Eco,650,3,2,2,2,4,4,4,4,4,3,4,1,4,2,0,0.0,1
Female,Loyal Customer,36,Business travel,Eco Plus,399,5,1,1,1,5,5,5,5,2,2,1,5,3,5,14,3.0,1
Female,Loyal Customer,51,Business travel,Business,591,3,3,3,3,5,5,5,3,3,3,3,4,3,3,110,121.0,1
Female,Loyal Customer,64,Personal Travel,Eco,1192,3,4,3,3,4,5,4,4,4,3,4,5,4,3,0,0.0,1
Male,Loyal Customer,41,Personal Travel,Eco,646,4,4,4,3,2,4,2,2,1,4,4,1,4,2,0,0.0,0
Male,Loyal Customer,28,Business travel,Business,1452,2,2,3,2,5,4,5,5,3,2,4,4,5,5,12,0.0,1
Male,Loyal Customer,63,Personal Travel,Eco,1399,1,1,1,2,3,1,3,3,3,1,3,2,2,3,0,0.0,0
Male,Loyal Customer,52,Personal Travel,Eco,1235,3,3,3,3,3,3,3,3,4,1,3,2,3,3,0,0.0,0
Male,Loyal Customer,53,Personal Travel,Eco,101,3,4,0,2,3,0,3,3,5,5,4,5,5,3,0,0.0,0
Female,Loyal Customer,56,Business travel,Business,332,3,3,3,3,2,5,5,4,4,4,4,4,4,4,0,0.0,1
Female,Loyal Customer,22,Business travel,Eco,771,0,4,0,3,3,0,3,3,5,3,5,4,4,3,0,2.0,0
Female,Loyal Customer,60,Business travel,Business,2195,3,3,3,3,5,5,5,4,4,4,4,4,4,3,0,0.0,1
Female,Loyal Customer,48,Business travel,Business,327,2,2,2,2,4,5,5,4,4,4,4,3,4,3,12,7.0,1
Male,Loyal Customer,47,Business travel,Business,3137,4,2,4,2,3,4,4,4,4,4,4,3,4,2,0,5.0,1
Female,Loyal Customer,41,Business travel,Eco,409,3,5,5,5,2,3,2,2,2,4,4,1,4,2,0,0.0,0
Male,Loyal Customer,13,Personal Travel,Eco,1014,2,2,3,3,3,3,2,3,4,5,4,1,3,3,27,2.0,0
Male,Loyal Customer,12,Personal Travel,Eco,362,5,5,2,3,4,2,4,4,5,2,4,3,4,4,0,0.0,1
Female,disloyal Customer,36,Business travel,Eco Plus,331,4,4,4,3,3,4,3,3,5,4,3,4,3,3,1,0.0,1
Female,Loyal Customer,64,Personal Travel,Eco,200,2,3,2,5,3,5,2,1,1,2,1,3,1,4,0,15.0,0
Female,Loyal Customer,16,Personal Travel,Eco,304,1,2,1,2,3,1,1,3,3,3,2,3,3,3,0,0.0,0
Female,Loyal Customer,46,Business travel,Business,1235,3,3,3,3,3,4,4,2,2,2,2,5,2,4,77,46.0,0
Female,Loyal Customer,35,Business travel,Business,2611,4,5,4,4,4,4,4,3,3,4,5,4,3,4,109,120.0,1
Female,disloyal Customer,25,Business travel,Eco,236,1,1,1,4,5,1,5,5,4,5,3,2,4,5,0,0.0,1
Male,Loyal Customer,40,Business travel,Business,3500,4,4,4,4,2,5,4,4,4,3,4,3,4,3,0,0.0,1
Female,Loyal Customer,56,Business travel,Business,1841,4,4,4,4,5,5,4,4,4,4,4,5,4,3,0,0.0,1
Female,Loyal Customer,11,Personal Travel,Business,554,2,5,2,5,4,2,4,4,4,3,5,3,4,4,0,2.0,1
Female,Loyal Customer,39,Business travel,Business,278,2,3,3,3,4,4,3,2,2,2,2,2,2,4,0,0.0,0
Female,Loyal Customer,11,Personal Travel,Eco,1029,4,4,4,3,3,4,3,3,4,2,3,4,4,3,0,0.0,0
Male,Loyal Customer,33,Personal Travel,Eco,1532,1,1,1,2,5,1,5,5,1,1,2,3,2,5,0,0.0,0
Male,Loyal Customer,50,Business travel,Business,337,0,0,0,2,4,4,5,4,4,4,4,4,4,4,0,0.0,1
Female,Loyal Customer,65,Business travel,Eco,377,4,1,3,1,1,4,1,4,4,4,4,3,4,4,2,1.0,0
Male,Loyal Customer,27,Personal Travel,Eco,228,2,5,2,4,2,2,2,2,5,4,5,4,4,2,125,122.0,0
Female,Loyal Customer,39,Business travel,Business,700,1,1,1,1,5,5,4,3,3,3,3,4,3,4,21,16.0,1
Male,Loyal Customer,31,Personal Travel,Eco,1744,4,4,4,3,3,4,5,3,4,5,4,4,4,3,0,0.0,1
Male,Loyal Customer,34,Business travel,Eco Plus,359,4,4,4,4,4,4,4,4,2,3,3,5,2,4,0,0.0,1
Male,Loyal Customer,10,Personal Travel,Eco,2689,3,5,3,3,4,3,4,4,4,4,4,5,5,4,0,3.0,1
Male,Loyal Customer,61,Personal Travel,Eco Plus,551,2,4,3,4,5,3,5,5,1,5,3,3,4,5,0,0.0,1
Male,disloyal Customer,27,Business travel,Eco,899,2,2,2,4,1,2,1,1,1,4,4,3,3,1,0,0.0,0
Female,Loyal Customer,55,Business travel,Eco Plus,180,3,5,5,5,5,4,1,3,3,3,3,2,3,3,10,1.0,0
Female,disloyal Customer,27,Business travel,Eco,1366,1,1,1,1,1,1,1,1,3,5,3,3,5,1,0,0.0,0
Male,Loyal Customer,50,Personal Travel,Eco,1979,3,4,3,4,2,3,5,2,1,3,3,2,4,2,0,0.0,0
Male,Loyal Customer,66,Personal Travel,Eco,605,3,2,2,3,2,2,1,2,3,4,4,2,4,2,0,0.0,0
Male,Loyal Customer,54,Business travel,Business,1562,4,4,3,4,5,5,5,4,3,5,5,5,4,5,275,262.0,1
Male,Loyal Customer,45,Business travel,Business,2565,5,5,4,5,3,3,3,3,4,4,4,3,3,3,6,0.0,1
Male,Loyal Customer,24,Business travel,Business,1935,5,5,5,5,3,3,3,3,5,2,5,3,5,3,0,0.0,1
Male,Loyal Customer,60,Business travel,Eco,483,4,3,3,3,4,4,4,4,3,2,4,2,2,4,0,6.0,1
Female,Loyal Customer,19,Personal Travel,Eco,223,1,2,0,3,5,0,5,5,2,3,2,3,2,5,0,2.0,0
Female,disloyal Customer,20,Business travel,Eco,272,1,4,1,3,4,1,3,4,1,2,4,1,3,4,0,3.0,0
Female,disloyal Customer,40,Business travel,Business,261,3,2,2,1,2,2,2,2,3,3,4,1,4,2,0,11.0,0
Male,disloyal Customer,45,Business travel,Eco,460,1,3,1,2,3,1,3,3,1,3,3,2,3,3,0,12.0,0
Female,disloyal Customer,29,Business travel,Business,682,1,1,1,3,2,1,2,2,3,2,5,4,4,2,0,0.0,0
Male,Loyal Customer,49,Business travel,Eco,391,4,3,3,3,4,4,4,4,4,5,4,4,3,4,0,3.0,1
Female,Loyal Customer,77,Business travel,Business,270,4,2,2,2,1,4,3,4,4,4,4,1,4,4,3,4.0,1
Female,Loyal Customer,7,Personal Travel,Eco,735,1,4,1,2,2,1,2,2,5,5,4,5,4,2,28,22.0,0
Female,disloyal Customer,26,Business travel,Business,316,3,0,3,1,4,3,5,4,5,3,5,3,5,4,12,9.0,1
Female,disloyal Customer,35,Business travel,Business,921,2,2,2,3,4,2,1,4,3,3,4,5,5,4,7,0.0,1
Male,Loyal Customer,54,Business travel,Business,1067,1,1,4,1,4,5,4,5,5,5,5,3,5,4,0,2.0,1
Female,Loyal Customer,63,Personal Travel,Eco,308,2,4,2,2,2,4,4,5,5,5,5,4,4,4,141,128.0,1
Male,Loyal Customer,29,Personal Travel,Eco,2475,2,1,2,2,5,2,5,5,4,3,2,4,2,5,0,0.0,1
Female,Loyal Customer,66,Personal Travel,Eco,599,3,3,3,3,3,2,2,3,2,4,4,2,2,2,158,153.0,0
Male,Loyal Customer,44,Business travel,Business,2638,0,0,0,4,5,5,5,4,4,4,4,3,4,3,0,0.0,1
Female,Loyal Customer,46,Personal Travel,Eco,1276,3,3,2,5,1,3,4,5,5,2,3,5,5,3,0,0.0,1
Female,Loyal Customer,9,Personal Travel,Eco,354,3,5,3,1,4,3,4,4,1,1,5,4,4,4,2,9.0,1
Female,Loyal Customer,52,Personal Travel,Business,643,2,5,2,2,3,5,5,5,5,2,4,4,5,3,10,0.0,1
Male,Loyal Customer,60,Business travel,Business,247,0,1,1,2,5,5,5,5,5,5,5,3,5,3,0,0.0,1
Male,Loyal Customer,68,Business travel,Business,3534,1,1,1,1,5,4,5,5,5,5,5,5,5,4,0,0.0,1
Female,Loyal Customer,64,Business travel,Business,1602,3,3,3,3,3,2,5,5,5,5,5,5,5,3,0,0.0,1
Female,Loyal Customer,37,Business travel,Business,3805,4,4,4,4,3,5,5,5,5,5,5,4,5,4,5,10.0,1
Female,Loyal Customer,52,Personal Travel,Eco,861,1,5,1,4,4,4,4,5,5,1,5,5,5,4,5,0.0,1
Female,disloyal Customer,39,Business travel,Business,867,4,5,5,4,2,5,2,2,5,3,4,4,4,2,13,10.0,0
Female,Loyal Customer,47,Business travel,Eco,728,1,1,1,1,4,4,4,1,1,1,1,1,1,2,2,41.0,0
Male,Loyal Customer,61,Business travel,Eco,374,3,4,4,4,3,3,3,3,2,2,4,1,4,3,12,1.0,0
Male,Loyal Customer,41,Business travel,Business,304,0,0,0,3,5,4,4,2,2,5,5,3,2,3,0,0.0,0
Female,Loyal Customer,68,Business travel,Business,119,4,4,4,4,5,5,5,4,4,4,5,1,4,4,0,0.0,1
Female,Loyal Customer,38,Business travel,Business,2882,3,3,3,3,2,1,4,5,5,5,5,2,5,4,0,0.0,1
Male,Loyal Customer,39,Business travel,Eco,888,2,4,4,4,2,2,2,2,3,1,4,4,3,2,58,62.0,0
Female,Loyal Customer,23,Personal Travel,Eco,986,3,5,3,3,5,3,5,5,3,5,4,4,5,5,0,8.0,1
Male,Loyal Customer,51,Business travel,Business,3288,2,2,2,2,5,5,5,3,3,5,4,5,5,5,152,156.0,1
Female,Loyal Customer,45,Business travel,Business,1056,1,1,1,1,1,4,5,4,4,4,4,2,4,3,0,0.0,1
Female,Loyal Customer,47,Business travel,Business,2176,3,3,3,3,4,5,4,5,5,5,5,4,5,3,61,40.0,1
Male,Loyal Customer,36,Business travel,Eco,248,5,4,4,4,5,5,5,5,5,3,1,3,4,5,1,0.0,1
Male,Loyal Customer,63,Personal Travel,Eco,119,2,5,2,2,5,2,3,5,5,5,4,1,5,5,0,0.0,1
Male,Loyal Customer,37,Business travel,Eco,214,4,1,1,1,4,3,4,4,1,2,4,2,3,4,0,0.0,0
